Year	RFS	RFSDescription	CLIN	Month	Actuals
2018.00	3001	HAF/A3 	CAF	6	90.66
2018.00	3001	HAF/A3 	CAF	7	178.68
2018.00	3001	HAF/A3 	CAF	8	260.30
2018.00	3001	HAF/A3 	CAF	9	366.47
2018.00	3001	HAF/A3 	CAF	10	270.40
2018.00	3001	HAF/A3 	CAF	11	347.60
2018.00	3001	HAF/A3 	Labor	6	83479.82
2018.00	3001	HAF/A3 	Labor	7	167803.21
2018.00	3001	HAF/A3 	Labor	8	239705.34
2018.00	3001	HAF/A3 	Labor	9	346330.79
2018.00	3001	HAF/A3 	Labor	10	253520.75
2018.00	3001	HAF/A3 	Labor	11	333232.78
2018.00	3001	HAF/A3 	Material	11	2740.62
2018.00	3001	HAF/A3 	PMO	6	7177.55
2018.00	3001	HAF/A3 	PMO	7	10873.83
2018.00	3001	HAF/A3 	PMO	8	13650.37
2018.00	3001	HAF/A3 	PMO	9	9768.61
2018.00	3001	HAF/A3 	PMO	10	6205.36
2018.00	3001	HAF/A3 	PMO	11	6951.11
2018.00	3001	HAF/A3 	Travel	8	925.82
2018.00	3001	HAF/A3 	Travel	8	2209.03
2018.00	3001	HAF/A3 	Travel	8	1589.46
2018.00	3001	HAF/A3 	Travel	8	2219.46
2018.00	3001	HAF/A3 	Travel	9	1504.07
2018.00	3001	HAF/A3 	Travel	9	6617.88
2018.00	3001	HAF/A3 	Travel	9	2249.95
2018.00	3001	HAF/A3 	Travel	10	6719.90
2018.00	3001	HAF/A3 	Travel	10	648.54
2018.00	3001	HAF/A3 	Travel	10	3304.48
2018.00	3001	HAF/A3 	Travel	11	1468.42
2018.00	3001	HAF/A3 	Travel	11	1615.40
2018.00	3001	HAF/A3 	Travel	11	1590.72
2018.00	3004	Navy ATO IA/Cyber 3.2	CAF	6	34.34
2018.00	3004	Navy ATO IA/Cyber 3.2	CAF	7	54.51
2018.00	3004	Navy ATO IA/Cyber 3.2	CAF	8	51.11
2018.00	3004	Navy ATO IA/Cyber 3.2	CAF	9	52.86
2018.00	3004	Navy ATO IA/Cyber 3.2	CAF	10	3.65
2018.00	3004	Navy ATO IA/Cyber 3.2	CAF	11	59.59
2018.00	3004	Navy ATO IA/Cyber 3.2	Labor	6	32938.02
2018.00	3004	Navy ATO IA/Cyber 3.2	Labor	7	52101.46
2018.00	3004	Navy ATO IA/Cyber 3.2	Labor	8	48838.39
2018.00	3004	Navy ATO IA/Cyber 3.2	Labor	9	49909.02
2018.00	3004	Navy ATO IA/Cyber 3.2	Labor	10	1825.19
2018.00	3004	Navy ATO IA/Cyber 3.2	Labor	11	57599.08
2018.00	3004	Navy ATO IA/Cyber 3.2	PMO	6	1404.04
2018.00	3004	Navy ATO IA/Cyber 3.2	PMO	7	2406.88
2018.00	3004	Navy ATO IA/Cyber 3.2	PMO	8	2274.87
